rct_number,antibody_name,antibody_category,trial_design,control_arm,phase,enrollment,dose_mg_m2,dose_frequency,duration_days,age_range,gender_distribution,ecog_performance,prior_treatments,comorbidities,baseline_organ_function,adverse_event,toxicity_type,organ_system,severity,ctcae_grade,fraction_affected_%,reversible,manageable,management_strategy,mitigation_strategy,time_to_onset_days,resolution_days,dose_modification_required,dose_modification_type,treatment_discontinuation,fatal_outcome,is_failed_candidate,failure_reason,contributed_to_failure,biomarker_correlation,predictive_factor,risk_stratification
RCT11342,Bevacizumab,Anti-VEGF,Single-arm,Standard of care,Phase 2,293,3,Bi-weekly,30,18-75,60% M/40% F,0-1,3,3,Moderate impairment,Nausea,Hematological,Hepatic,Moderate,5,11.94,No,No,Dose reduction,Patient education,12,6,No,Discontinuation,No,No,No,Safety,Yes,None,Gender,Unknown
RCT98451,Cetuximab,Anti-EGFR,Single-arm,None,Phase 2,213,4,Every 3 weeks,58,≥18,40% M/60% F,1-2,3,1,Mild impairment,Nausea,Hepatic,Cardiac,Moderate,1,23.83,No,No,Dose reduction,Dose adjustment,6,39,No,None,No,No,No,Regulatory,,Positive,Age,High
RCT84900,Rituximab,Anti-CD20,Crossover,None,Phase 2,41,11,Every 3 weeks,39,≥18,40% M/60% F,1-2,4,0,Normal,Neutropenia,Hematological,Skin,Mild,5,28.85,No,No,Treatment hold,Dose adjustment,14,37,No,Reduction,No,No,Yes,Safety,No,Positive,Prior treatments,Unknown
RCT78962,Trastuzumab,Anti-HER2,Single-arm,Placebo,Phase 1,261,14,Weekly,50,18-65,40% M/60% F,1-2,1,0,Normal,Infusion reaction,Hematological,Gastrointestinal,Severe,4,1.12,Yes,Yes,Treatment hold,Patient education,27,34,Yes,None,Yes,Yes,Yes,Regulatory,,Unknown,ECOG,Medium
RCT81766,Pembrolizumab,Anti-PD-1,Single-arm,Placebo,Phase 3,109,2,Bi-weekly,170,18-65,50% M/50% F,0-2,2,3,Normal,Fatigue,Gastrointestinal,Skin,Mild,5,9.16,Yes,No,Dose reduction,Premedication,18,6,Yes,Delay,No,Yes,Yes,,,Negative,Gender,Unknown
RCT50976,Bevacizumab,Anti-VEGF,Single-arm,None,Phase 2,168,2,Every 3 weeks,60,18-65,60% M/40% F,1-2,1,3,Normal,Rash,Hepatic,Hepatic,Mild,5,29.72,Yes,No,Supportive care,Monitoring,17,15,Yes,None,Yes,Yes,No,,Yes,Unknown,Prior treatments,Unknown
RCT26358,Cetuximab,Anti-EGFR,Randomized,Placebo,Phase 2,288,14,Every 3 weeks,90,≥18,60% M/40% F,1-2,2,2,Mild impairment,Infusion reaction,Cardiac,Hepatic,Moderate,5,24.9,No,Yes,Discontinuation,Premedication,23,38,Yes,None,Yes,No,No,,No,Positive,None,Low
RCT37434,Rituximab,Anti-CD20,Single-arm,Active comparator,Phase 2,63,14,Monthly,125,21-85,40% M/60% F,0-1,1,3,Normal,Nausea,Gastrointestinal,Hepatic,Moderate,4,25.01,No,No,Treatment hold,Dose adjustment,23,41,No,Reduction,Yes,Yes,Yes,Regulatory,,Negative,Prior treatments,Medium
RCT30273,Trastuzumab,Anti-HER2,Crossover,Placebo,Phase 2,228,15,Weekly,123,18-65,50% M/50% F,1-2,3,2,Normal,Fatigue,Gastrointestinal,Skin,Severe,4,19.85,No,Yes,Dose reduction,Patient education,3,18,No,Reduction,No,Yes,No,Safety,,Positive,ECOG,High
RCT16200,Pembrolizumab,Anti-PD-1,Single-arm,Standard of care,Phase 1,222,11,Every 3 weeks,75,18-75,40% M/60% F,1-2,3,3,Normal,Nausea,Hematological,Hepatic,Severe,5,16.57,No,Yes,Dose reduction,Monitoring,18,40,No,None,Yes,No,No,Competition,,Positive,ECOG,High
RCT59719,Bevacizumab,Anti-VEGF,Crossover,Standard of care,Phase 1,26,12,Bi-weekly,124,18-65,50% M/50% F,0-1,3,3,Normal,Neutropenia,Gastrointestinal,Cardiac,Moderate,1,7.87,No,No,Discontinuation,Monitoring,2,27,No,Reduction,No,Yes,Yes,Competition,,None,Prior treatments,Low
RCT91384,Cetuximab,Anti-EGFR,Randomized,Standard of care,Phase 1,55,7,Bi-weekly,124,18-75,60% M/40% F,1-2,3,0,Mild impairment,Fatigue,Cardiac,Blood,Moderate,5,27.57,No,No,Dose reduction,Premedication,22,43,Yes,Discontinuation,Yes,Yes,Yes,Safety,No,Positive,ECOG,Medium
RCT80229,Rituximab,Anti-CD20,Randomized,Standard of care,Phase 3,129,7,Bi-weekly,151,18-65,60% M/40% F,0-1,2,3,Mild impairment,Neutropenia,Gastrointestinal,Blood,Moderate,5,11.98,Yes,No,Supportive care,Premedication,19,58,Yes,Delay,No,No,No,Regulatory,Yes,None,None,Medium
RCT19176,Trastuzumab,Anti-HER2,Single-arm,Placebo,Phase 2,226,2,Monthly,136,≥18,60% M/40% F,0-2,1,3,Mild impairment,Infusion reaction,Cardiac,Cardiac,Severe,5,23.22,Yes,Yes,Treatment hold,Dose adjustment,22,53,Yes,Reduction,No,Yes,No,Regulatory,,Positive,None,High
RCT59458,Pembrolizumab,Anti-PD-1,Randomized,None,Phase 2,283,15,Bi-weekly,42,≥18,50% M/50% F,1-2,2,2,Mild impairment,Rash,Cardiac,Blood,Mild,1,18.92,Yes,Yes,Discontinuation,Patient education,19,3,No,None,No,No,Yes,,,None,Gender,High
RCT92781,Bevacizumab,Anti-VEGF,Crossover,Placebo,Phase 3,250,12,Weekly,118,21-85,40% M/60% F,1-2,4,1,Moderate impairment,Fatigue,Dermatological,Skin,Moderate,1,20.13,No,Yes,Supportive care,Monitoring,21,34,No,Reduction,Yes,Yes,Yes,Efficacy,No,Unknown,Prior treatments,Low
RCT52458,Cetuximab,Anti-EGFR,Crossover,Standard of care,Phase 3,246,2,Weekly,96,18-65,50% M/50% F,1-2,0,0,Moderate impairment,Rash,Gastrointestinal,Blood,Moderate,3,7.82,Yes,Yes,Treatment hold,Patient education,23,15,Yes,Discontinuation,Yes,Yes,Yes,Regulatory,No,Unknown,None,Unknown
RCT58964,Rituximab,Anti-CD20,Single-arm,None,Phase 3,30,5,Weekly,106,≥18,50% M/50% F,1-2,4,1,Moderate impairment,Nausea,Gastrointestinal,Cardiac,Mild,3,10.13,Yes,Yes,Supportive care,Premedication,17,13,Yes,Discontinuation,No,No,No,Efficacy,,Positive,Gender,Low
RCT59995,Trastuzumab,Anti-HER2,Randomized,Placebo,Phase 2,217,15,Every 3 weeks,55,18-65,60% M/40% F,1-2,1,3,Normal,Infusion reaction,Hepatic,Cardiac,Severe,4,5.66,No,Yes,Discontinuation,Premedication,28,52,No,Discontinuation,Yes,Yes,Yes,Regulatory,,Negative,Gender,High
RCT54765,Pembrolizumab,Anti-PD-1,Randomized,Active comparator,Phase 1,142,3,Bi-weekly,174,18-75,40% M/60% F,0-1,2,0,Normal,Fatigue,Hematological,Gastrointestinal,Severe,3,11.69,Yes,No,Supportive care,Patient education,5,60,No,Discontinuation,No,Yes,No,Efficacy,Yes,Unknown,Age,High
RCT36850,Bevacizumab,Anti-VEGF,Single-arm,None,Phase 3,72,4,Bi-weekly,64,≥18,50% M/50% F,1-2,2,3,Mild impairment,Neutropenia,Hematological,Skin,Mild,2,25.61,Yes,No,Supportive care,Monitoring,11,57,No,Delay,No,No,No,Competition,Yes,None,None,Medium
RCT39950,Cetuximab,Anti-EGFR,Crossover,Active comparator,Phase 1,133,9,Every 3 weeks,65,18-75,60% M/40% F,0-2,5,1,Moderate impairment,Rash,Dermatological,Blood,Severe,4,21.31,Yes,Yes,Dose reduction,Patient education,11,26,Yes,None,Yes,Yes,Yes,Safety,Yes,None,ECOG,Low
RCT57404,Rituximab,Anti-CD20,Single-arm,Placebo,Phase 1,35,14,Monthly,162,≥18,40% M/60% F,0-1,5,3,Normal,Fatigue,Cardiac,Gastrointestinal,Mild,5,18.32,Yes,No,Dose reduction,Dose adjustment,7,34,Yes,Delay,Yes,Yes,Yes,Regulatory,,Negative,Gender,High
RCT42993,Trastuzumab,Anti-HER2,Randomized,Active comparator,Phase 3,60,8,Bi-weekly,63,18-65,40% M/60% F,0-1,1,0,Moderate impairment,Nausea,Hematological,Gastrointestinal,Mild,5,19.51,No,Yes,Treatment hold,Dose adjustment,16,4,No,Discontinuation,No,No,No,Regulatory,Yes,Negative,Age,Medium
RCT84923,Pembrolizumab,Anti-PD-1,Crossover,Active comparator,Phase 1,199,12,Weekly,54,21-85,40% M/60% F,0-1,0,3,Normal,Infusion reaction,Hematological,Blood,Severe,4,3.59,No,Yes,Dose reduction,Premedication,15,54,Yes,Reduction,Yes,No,No,Efficacy,No,Positive,Age,Medium
RCT21799,Bevacizumab,Anti-VEGF,Randomized,Placebo,Phase 2,168,11,Weekly,54,21-85,50% M/50% F,0-2,0,3,Moderate impairment,Fatigue,Hepatic,Gastrointestinal,Mild,5,22.62,Yes,Yes,Treatment hold,Monitoring,21,44,Yes,Delay,No,Yes,Yes,,,None,ECOG,Medium
RCT88662,Cetuximab,Anti-EGFR,Crossover,Standard of care,Phase 2,234,7,Bi-weekly,123,21-85,40% M/60% F,0-1,0,1,Normal,Rash,Dermatological,Gastrointestinal,Moderate,2,2.42,Yes,No,Supportive care,Monitoring,5,45,Yes,Reduction,Yes,Yes,Yes,Regulatory,Yes,Unknown,Prior treatments,Medium
RCT11564,Rituximab,Anti-CD20,Crossover,Standard of care,Phase 2,269,13,Bi-weekly,93,21-85,60% M/40% F,0-2,2,1,Normal,Nausea,Hematological,Gastrointestinal,Moderate,4,29.59,No,No,Discontinuation,Monitoring,18,34,Yes,Reduction,No,No,No,,Yes,Positive,ECOG,Unknown
RCT10902,Trastuzumab,Anti-HER2,Single-arm,Active comparator,Phase 3,49,4,Monthly,71,18-75,60% M/40% F,1-2,5,1,Normal,Infusion reaction,Cardiac,Blood,Mild,1,3.9,No,Yes,Dose reduction,Monitoring,16,12,Yes,Reduction,No,Yes,No,,No,None,ECOG,Unknown
RCT61563,Pembrolizumab,Anti-PD-1,Single-arm,Placebo,Phase 2,187,12,Weekly,57,21-85,50% M/50% F,0-1,2,2,Moderate impairment,Rash,Gastrointestinal,Cardiac,Severe,3,2.4,No,Yes,Dose reduction,Premedication,4,35,Yes,None,No,No,Yes,Efficacy,Yes,Negative,Gender,Unknown
RCT10125,Bevacizumab,Anti-VEGF,Crossover,Placebo,Phase 2,215,6,Weekly,147,≥18,50% M/50% F,1-2,0,1,Normal,Nausea,Cardiac,Cardiac,Mild,4,21.21,Yes,Yes,Dose reduction,Dose adjustment,14,22,Yes,Discontinuation,Yes,No,No,Safety,Yes,None,ECOG,Low
RCT86283,Cetuximab,Anti-EGFR,Crossover,None,Phase 1,118,6,Weekly,46,18-65,50% M/50% F,0-1,0,2,Normal,Infusion reaction,Gastrointestinal,Hepatic,Mild,3,2.69,No,Yes,Treatment hold,Patient education,3,40,No,None,Yes,No,Yes,Regulatory,No,Unknown,Gender,High
RCT43144,Rituximab,Anti-CD20,Randomized,Standard of care,Phase 2,228,3,Weekly,150,≥18,60% M/40% F,1-2,3,3,Mild impairment,Fatigue,Hepatic,Gastrointestinal,Severe,2,14.6,No,No,Supportive care,Premedication,17,17,Yes,Discontinuation,No,Yes,Yes,,No,None,Prior treatments,Unknown
RCT78949,Trastuzumab,Anti-HER2,Randomized,None,Phase 2,129,7,Monthly,31,21-85,50% M/50% F,0-1,0,0,Normal,Nausea,Dermatological,Skin,Moderate,5,13.52,Yes,Yes,Dose reduction,Premedication,20,25,Yes,None,Yes,Yes,Yes,Efficacy,Yes,Negative,None,Low
RCT15420,Pembrolizumab,Anti-PD-1,Single-arm,Placebo,Phase 3,253,9,Weekly,157,18-65,50% M/50% F,1-2,2,0,Mild impairment,Infusion reaction,Cardiac,Cardiac,Moderate,1,6.92,No,Yes,Dose reduction,Patient education,28,31,Yes,Reduction,Yes,No,Yes,Regulatory,No,Negative,Age,High
RCT65362,Bevacizumab,Anti-VEGF,Randomized,Standard of care,Phase 1,149,14,Bi-weekly,50,18-75,40% M/60% F,0-2,0,2,Mild impairment,Rash,Cardiac,Gastrointestinal,Moderate,3,20.51,No,No,Discontinuation,Patient education,26,27,No,Reduction,No,No,Yes,,No,Positive,None,Low
RCT47140,Cetuximab,Anti-EGFR,Crossover,Standard of care,Phase 3,153,10,Weekly,82,18-75,60% M/40% F,0-2,4,1,Moderate impairment,Infusion reaction,Dermatological,Gastrointestinal,Severe,2,13.49,Yes,No,Discontinuation,Patient education,23,30,Yes,Reduction,Yes,Yes,No,Safety,,Unknown,None,High
RCT27511,Rituximab,Anti-CD20,Single-arm,None,Phase 3,209,6,Weekly,105,18-65,60% M/40% F,0-2,0,2,Moderate impairment,Infusion reaction,Dermatological,Gastrointestinal,Severe,5,18.3,Yes,No,Treatment hold,Dose adjustment,24,14,Yes,Reduction,No,Yes,Yes,Efficacy,,Positive,None,High
RCT74163,Trastuzumab,Anti-HER2,Randomized,Standard of care,Phase 1,233,9,Bi-weekly,172,18-75,60% M/40% F,1-2,1,3,Moderate impairment,Fatigue,Cardiac,Skin,Mild,2,2.75,Yes,Yes,Treatment hold,Patient education,23,52,Yes,Delay,No,Yes,No,Safety,Yes,Negative,Age,Unknown
RCT81561,Pembrolizumab,Anti-PD-1,Crossover,Standard of care,Phase 3,36,13,Every 3 weeks,79,18-65,60% M/40% F,0-1,2,0,Moderate impairment,Nausea,Gastrointestinal,Hepatic,Moderate,4,15.12,No,No,Dose reduction,Dose adjustment,4,15,Yes,Reduction,Yes,No,No,Regulatory,Yes,Unknown,Gender,High
RCT33917,Bevacizumab,Anti-VEGF,Single-arm,Standard of care,Phase 3,82,10,Bi-weekly,47,21-85,40% M/60% F,0-2,1,2,Normal,Neutropenia,Cardiac,Gastrointestinal,Moderate,5,3.16,No,Yes,Treatment hold,Premedication,19,40,Yes,Discontinuation,Yes,Yes,No,Regulatory,,None,None,Low
RCT42277,Cetuximab,Anti-EGFR,Single-arm,None,Phase 2,277,7,Bi-weekly,54,18-65,60% M/40% F,1-2,3,0,Mild impairment,Rash,Hematological,Hepatic,Moderate,2,1.24,No,No,Treatment hold,Premedication,26,24,No,Reduction,No,Yes,No,,Yes,Negative,Prior treatments,Unknown
RCT12947,Rituximab,Anti-CD20,Crossover,None,Phase 1,70,5,Bi-weekly,34,18-65,40% M/60% F,0-2,1,2,Mild impairment,Neutropenia,Hepatic,Hepatic,Moderate,3,14.04,Yes,Yes,Discontinuation,Patient education,3,51,No,Discontinuation,Yes,No,No,Efficacy,No,Negative,None,High
RCT57477,Trastuzumab,Anti-HER2,Single-arm,Active comparator,Phase 2,26,6,Every 3 weeks,149,18-75,40% M/60% F,0-1,1,2,Normal,Nausea,Hepatic,Blood,Mild,5,28.63,Yes,No,Dose reduction,Monitoring,27,18,No,None,No,Yes,No,Competition,,Negative,ECOG,High
RCT57192,Pembrolizumab,Anti-PD-1,Randomized,Placebo,Phase 1,29,12,Every 3 weeks,156,21-85,60% M/40% F,1-2,0,2,Normal,Fatigue,Hematological,Hepatic,Severe,5,2.32,No,No,Supportive care,Monitoring,9,48,Yes,None,No,Yes,No,Regulatory,No,Positive,Prior treatments,Unknown
RCT77692,Bevacizumab,Anti-VEGF,Single-arm,Standard of care,Phase 2,158,8,Bi-weekly,127,≥18,50% M/50% F,0-1,2,0,Normal,Fatigue,Hepatic,Skin,Mild,3,29.87,Yes,Yes,Supportive care,Premedication,21,38,No,Delay,No,Yes,Yes,Efficacy,,Negative,ECOG,High
RCT41173,Cetuximab,Anti-EGFR,Crossover,None,Phase 3,247,15,Monthly,30,21-85,60% M/40% F,1-2,4,0,Moderate impairment,Infusion reaction,Hematological,Blood,Severe,4,16.46,No,Yes,Discontinuation,Dose adjustment,20,56,No,None,Yes,No,No,Competition,,Negative,ECOG,Low
RCT78369,Rituximab,Anti-CD20,Single-arm,Active comparator,Phase 3,51,10,Weekly,119,18-65,50% M/50% F,1-2,1,3,Moderate impairment,Neutropenia,Gastrointestinal,Blood,Severe,5,11.17,Yes,No,Treatment hold,Monitoring,11,17,Yes,Reduction,Yes,Yes,Yes,Regulatory,Yes,None,ECOG,High
RCT71813,Trastuzumab,Anti-HER2,Randomized,Standard of care,Phase 2,166,14,Bi-weekly,160,18-75,50% M/50% F,0-1,3,3,Moderate impairment,Nausea,Hematological,Cardiac,Severe,1,8.27,Yes,No,Treatment hold,Monitoring,16,36,Yes,Reduction,Yes,Yes,Yes,,,None,None,Unknown
RCT61910,Pembrolizumab,Anti-PD-1,Single-arm,Placebo,Phase 3,143,5,Every 3 weeks,50,≥18,50% M/50% F,0-1,0,3,Moderate impairment,Fatigue,Hematological,Blood,Severe,2,15.58,No,Yes,Treatment hold,Premedication,9,27,No,Reduction,Yes,Yes,Yes,,,Positive,Prior treatments,Unknown
RCT97609,Bevacizumab,Anti-VEGF,Randomized,None,Phase 1,252,15,Every 3 weeks,31,18-75,60% M/40% F,0-2,2,2,Mild impairment,Fatigue,Cardiac,Skin,Mild,5,6.17,No,Yes,Discontinuation,Premedication,10,51,Yes,Discontinuation,Yes,No,Yes,Safety,,None,None,Medium
RCT87213,Cetuximab,Anti-EGFR,Randomized,Active comparator,Phase 3,256,3,Weekly,162,21-85,50% M/50% F,0-1,3,0,Moderate impairment,Nausea,Gastrointestinal,Skin,Severe,4,17.86,Yes,Yes,Supportive care,Dose adjustment,24,41,Yes,None,Yes,Yes,No,,Yes,Positive,Prior treatments,High
RCT80680,Rituximab,Anti-CD20,Single-arm,Active comparator,Phase 3,63,3,Weekly,176,21-85,60% M/40% F,0-2,3,3,Mild impairment,Fatigue,Cardiac,Hepatic,Mild,1,17.61,Yes,Yes,Treatment hold,Premedication,4,56,No,Discontinuation,No,Yes,Yes,Regulatory,,Unknown,Gender,Low
RCT79384,Trastuzumab,Anti-HER2,Single-arm,Standard of care,Phase 1,99,8,Monthly,91,18-65,40% M/60% F,0-1,4,2,Mild impairment,Nausea,Hematological,Gastrointestinal,Mild,1,13.0,No,Yes,Treatment hold,Patient education,27,40,No,None,Yes,Yes,No,Efficacy,No,None,Age,Unknown
RCT83215,Pembrolizumab,Anti-PD-1,Single-arm,Active comparator,Phase 2,215,5,Bi-weekly,118,≥18,60% M/40% F,0-2,4,0,Normal,Neutropenia,Hepatic,Gastrointestinal,Severe,1,3.95,Yes,Yes,Discontinuation,Dose adjustment,20,42,No,None,Yes,Yes,No,Efficacy,Yes,Positive,None,High
RCT13400,Bevacizumab,Anti-VEGF,Crossover,Placebo,Phase 2,245,13,Monthly,55,21-85,60% M/40% F,0-2,0,2,Moderate impairment,Fatigue,Hematological,Blood,Moderate,1,29.81,Yes,Yes,Supportive care,Patient education,17,40,Yes,None,No,No,No,Safety,,Unknown,None,High
RCT56421,Cetuximab,Anti-EGFR,Crossover,None,Phase 2,75,4,Bi-weekly,151,18-75,40% M/60% F,1-2,5,0,Mild impairment,Neutropenia,Cardiac,Hepatic,Severe,5,23.68,Yes,No,Dose reduction,Patient education,27,8,No,None,Yes,Yes,Yes,Competition,Yes,Positive,Gender,Unknown
RCT21990,Rituximab,Anti-CD20,Crossover,Standard of care,Phase 1,142,10,Every 3 weeks,58,21-85,40% M/60% F,1-2,4,3,Moderate impairment,Infusion reaction,Gastrointestinal,Gastrointestinal,Severe,4,19.14,Yes,Yes,Discontinuation,Dose adjustment,23,32,Yes,Discontinuation,Yes,Yes,No,Efficacy,Yes,Unknown,Gender,Low
RCT75991,Trastuzumab,Anti-HER2,Single-arm,Active comparator,Phase 2,272,3,Every 3 weeks,34,18-75,50% M/50% F,1-2,4,2,Mild impairment,Rash,Cardiac,Cardiac,Moderate,3,19.97,No,Yes,Discontinuation,Patient education,19,50,Yes,None,Yes,No,No,Regulatory,,Unknown,ECOG,High
RCT67157,Pembrolizumab,Anti-PD-1,Randomized,None,Phase 1,101,10,Bi-weekly,33,18-65,50% M/50% F,0-1,5,2,Mild impairment,Rash,Hematological,Blood,Severe,4,24.53,No,Yes,Supportive care,Premedication,3,37,Yes,Discontinuation,No,Yes,Yes,Competition,,Negative,Gender,High
RCT78684,Bevacizumab,Anti-VEGF,Randomized,None,Phase 2,211,2,Every 3 weeks,125,21-85,50% M/50% F,0-1,0,3,Mild impairment,Neutropenia,Hepatic,Gastrointestinal,Moderate,4,21.6,Yes,No,Dose reduction,Monitoring,26,37,No,Reduction,No,Yes,Yes,,No,None,Prior treatments,High
RCT21533,Cetuximab,Anti-EGFR,Crossover,Active comparator,Phase 2,187,5,Weekly,143,18-65,50% M/50% F,1-2,2,2,Normal,Fatigue,Dermatological,Blood,Mild,4,16.66,No,Yes,Treatment hold,Dose adjustment,16,18,Yes,Reduction,Yes,Yes,No,Competition,,None,ECOG,Low
RCT15241,Rituximab,Anti-CD20,Crossover,Placebo,Phase 1,152,5,Bi-weekly,81,≥18,40% M/60% F,0-1,0,0,Mild impairment,Infusion reaction,Gastrointestinal,Hepatic,Severe,1,9.42,Yes,No,Treatment hold,Dose adjustment,1,15,Yes,None,No,Yes,Yes,Regulatory,No,Positive,Age,Unknown
RCT49284,Trastuzumab,Anti-HER2,Crossover,Placebo,Phase 1,101,8,Monthly,172,≥18,50% M/50% F,1-2,3,0,Moderate impairment,Nausea,Dermatological,Gastrointestinal,Moderate,5,1.68,No,No,Dose reduction,Premedication,5,36,Yes,Reduction,No,Yes,Yes,Regulatory,Yes,Unknown,None,Unknown
RCT70090,Pembrolizumab,Anti-PD-1,Randomized,Standard of care,Phase 3,82,2,Every 3 weeks,62,18-75,40% M/60% F,0-2,2,0,Moderate impairment,Infusion reaction,Cardiac,Blood,Moderate,5,15.91,No,Yes,Dose reduction,Dose adjustment,27,25,No,Delay,Yes,Yes,Yes,Competition,,None,Gender,High
RCT46889,Bevacizumab,Anti-VEGF,Single-arm,Placebo,Phase 2,151,3,Every 3 weeks,71,≥18,60% M/40% F,1-2,5,1,Normal,Infusion reaction,Dermatological,Cardiac,Mild,3,22.12,Yes,Yes,Supportive care,Dose adjustment,1,54,No,Delay,Yes,No,Yes,Regulatory,No,Unknown,None,Unknown
RCT53333,Cetuximab,Anti-EGFR,Randomized,Active comparator,Phase 2,101,11,Weekly,160,18-75,40% M/60% F,1-2,5,2,Mild impairment,Infusion reaction,Cardiac,Blood,Mild,2,24.69,No,Yes,Treatment hold,Patient education,23,30,Yes,Discontinuation,No,No,No,Regulatory,,None,None,Medium
RCT11394,Rituximab,Anti-CD20,Randomized,Placebo,Phase 3,64,12,Weekly,173,18-75,40% M/60% F,0-2,3,3,Mild impairment,Nausea,Hepatic,Blood,Moderate,5,7.08,No,No,Discontinuation,Patient education,7,41,No,None,No,Yes,No,Safety,,None,ECOG,Medium
RCT36845,Trastuzumab,Anti-HER2,Crossover,Standard of care,Phase 1,26,4,Every 3 weeks,155,≥18,50% M/50% F,0-1,5,2,Moderate impairment,Fatigue,Hematological,Cardiac,Mild,5,25.98,No,Yes,Dose reduction,Dose adjustment,12,29,No,Discontinuation,Yes,Yes,Yes,,,None,Age,Low
RCT59596,Pembrolizumab,Anti-PD-1,Single-arm,Active comparator,Phase 1,276,7,Bi-weekly,163,18-75,60% M/40% F,1-2,3,1,Mild impairment,Rash,Hematological,Hepatic,Moderate,3,6.27,Yes,Yes,Dose reduction,Premedication,11,4,Yes,Discontinuation,No,Yes,No,Regulatory,,Unknown,ECOG,High
RCT43299,Bevacizumab,Anti-VEGF,Crossover,Placebo,Phase 3,94,12,Monthly,112,≥18,50% M/50% F,0-1,0,2,Mild impairment,Neutropenia,Cardiac,Skin,Mild,3,22.11,Yes,No,Discontinuation,Dose adjustment,22,38,No,Reduction,No,Yes,No,Safety,No,Negative,None,Unknown
RCT48510,Cetuximab,Anti-EGFR,Randomized,Standard of care,Phase 1,90,5,Weekly,64,18-65,40% M/60% F,1-2,2,3,Normal,Fatigue,Dermatological,Hepatic,Severe,5,3.23,No,No,Supportive care,Monitoring,5,60,Yes,None,Yes,No,Yes,Regulatory,No,Positive,Prior treatments,Medium
RCT88617,Rituximab,Anti-CD20,Crossover,Active comparator,Phase 3,232,8,Bi-weekly,54,21-85,40% M/60% F,0-2,4,3,Mild impairment,Fatigue,Cardiac,Hepatic,Mild,5,13.25,Yes,Yes,Discontinuation,Dose adjustment,24,3,No,None,Yes,No,No,Regulatory,No,None,ECOG,High
RCT18971,Trastuzumab,Anti-HER2,Crossover,Active comparator,Phase 3,50,4,Monthly,113,21-85,60% M/40% F,1-2,1,0,Normal,Neutropenia,Hepatic,Skin,Mild,3,2.44,Yes,No,Treatment hold,Premedication,11,38,No,Reduction,No,Yes,Yes,Competition,No,Negative,Gender,High
RCT17671,Pembrolizumab,Anti-PD-1,Crossover,Active comparator,Phase 3,133,13,Monthly,169,≥18,60% M/40% F,0-2,0,1,Mild impairment,Fatigue,Hepatic,Hepatic,Moderate,1,1.16,Yes,No,Discontinuation,Dose adjustment,13,48,No,Discontinuation,No,No,No,Regulatory,Yes,None,Gender,Medium
RCT57086,Bevacizumab,Anti-VEGF,Single-arm,Placebo,Phase 1,239,10,Monthly,95,18-65,50% M/50% F,1-2,5,0,Normal,Rash,Cardiac,Skin,Severe,1,9.34,Yes,No,Discontinuation,Patient education,23,28,Yes,None,Yes,No,Yes,Safety,,Unknown,Prior treatments,Low
RCT70832,Cetuximab,Anti-EGFR,Randomized,Active comparator,Phase 3,25,8,Every 3 weeks,135,21-85,40% M/60% F,1-2,4,1,Mild impairment,Rash,Hepatic,Blood,Mild,4,16.68,No,No,Dose reduction,Monitoring,7,8,No,None,No,No,No,Efficacy,,Positive,None,Low
RCT15550,Rituximab,Anti-CD20,Crossover,None,Phase 3,53,15,Weekly,100,≥18,40% M/60% F,0-2,1,2,Mild impairment,Rash,Hepatic,Cardiac,Severe,3,13.57,No,Yes,Supportive care,Monitoring,11,38,Yes,Discontinuation,No,No,Yes,Regulatory,No,Unknown,ECOG,Medium
RCT20838,Trastuzumab,Anti-HER2,Crossover,None,Phase 3,108,12,Weekly,52,21-85,40% M/60% F,0-1,2,0,Normal,Fatigue,Hematological,Blood,Mild,3,5.99,No,Yes,Discontinuation,Dose adjustment,14,37,No,None,No,No,Yes,Efficacy,,None,Prior treatments,Low
RCT38601,Pembrolizumab,Anti-PD-1,Randomized,Placebo,Phase 2,131,13,Bi-weekly,104,21-85,40% M/60% F,0-1,5,2,Moderate impairment,Nausea,Hematological,Cardiac,Moderate,1,2.73,Yes,No,Treatment hold,Patient education,26,40,No,Delay,No,Yes,No,Safety,Yes,None,ECOG,High
RCT21188,Bevacizumab,Anti-VEGF,Randomized,Standard of care,Phase 1,159,11,Every 3 weeks,175,21-85,50% M/50% F,1-2,2,3,Mild impairment,Rash,Dermatological,Cardiac,Mild,2,29.84,Yes,No,Treatment hold,Dose adjustment,19,25,Yes,None,Yes,No,No,Regulatory,Yes,Unknown,Prior treatments,Medium
RCT84038,Cetuximab,Anti-EGFR,Randomized,Standard of care,Phase 1,275,9,Weekly,80,≥18,50% M/50% F,0-2,2,2,Normal,Rash,Cardiac,Gastrointestinal,Moderate,5,6.76,Yes,Yes,Treatment hold,Patient education,27,15,No,Delay,No,Yes,No,Safety,Yes,Unknown,Age,Medium
RCT33266,Rituximab,Anti-CD20,Crossover,Active comparator,Phase 1,60,2,Weekly,122,21-85,50% M/50% F,0-2,5,3,Normal,Nausea,Cardiac,Hepatic,Mild,2,14.68,Yes,Yes,Supportive care,Premedication,25,28,No,Delay,No,Yes,Yes,Regulatory,,Negative,None,Unknown
RCT74156,Trastuzumab,Anti-HER2,Crossover,None,Phase 2,101,5,Monthly,54,≥18,40% M/60% F,0-1,1,1,Moderate impairment,Neutropenia,Cardiac,Cardiac,Moderate,3,27.32,No,No,Discontinuation,Patient education,24,44,No,Delay,Yes,No,Yes,Safety,Yes,Unknown,Prior treatments,Unknown
